state,year,unemployment_rate
Alabama,1994,6.2
Alabama,1995,5.9
Alabama,1996,5.2
Alabama,1997,5
Alabama,1998,4.4
Alabama,1999,4.7
Alabama,2000,4.6
Alabama,2001,5.1
Alabama,2002,5.9
Alabama,2003,6
Alabama,2004,5.7
Alabama,2005,4.5
Alabama,2006,4
Alabama,2007,4
Alabama,2008,5.7
Alabama,2009,11
Alabama,2010,10.5
Alabama,2011,9.6
Alabama,2012,8
Alaska,1994,7.6
Alaska,1995,7.3
Alaska,1996,7.6
Alaska,1997,7.1
Alaska,1998,6.4
Alaska,1999,6.5
Alaska,2000,6.4
Alaska,2001,6.4
Alaska,2002,7.3
Alaska,2003,7.8
Alaska,2004,7.5
Alaska,2005,6.9
Alaska,2006,6.6
Alaska,2007,6.3
Alaska,2008,6.7
Alaska,2009,7.7
Alaska,2010,7.9
Alaska,2011,7.6
Alaska,2012,7.1
Arizona,1994,6.1
Arizona,1995,5.4
Arizona,1996,5.6
Arizona,1997,4.6
Arizona,1998,4.3
Arizona,1999,4.4
Arizona,2000,4
Arizona,2001,4.8
Arizona,2002,6.1
Arizona,2003,5.7
Arizona,2004,5
Arizona,2005,4.7
Arizona,2006,4.2
Arizona,2007,3.9
Arizona,2008,6.2
Arizona,2009,9.9
Arizona,2010,10.4
Arizona,2011,9.5
Arizona,2012,8.3
Arkansas,1994,5.4
Arkansas,1995,4.8
Arkansas,1996,5.2
Arkansas,1997,5.2
Arkansas,1998,5.2
Arkansas,1999,4.6
Arkansas,2000,4.3
Arkansas,2001,5
Arkansas,2002,5.5
Arkansas,2003,5.9
Arkansas,2004,5.7
Arkansas,2005,5.2
Arkansas,2006,5.2
Arkansas,2007,5.3
Arkansas,2008,5.5
Arkansas,2009,7.8
Arkansas,2010,8.2
Arkansas,2011,8.3
Arkansas,2012,7.6
California,1994,8.6
California,1995,7.9
California,1996,7.3
California,1997,6.4
California,1998,5.9
California,1999,5.2
California,2000,4.9
California,2001,5.4
California,2002,6.7
California,2003,6.8
California,2004,6.2
California,2005,5.4
California,2006,4.9
California,2007,5.4
California,2008,7.3
California,2009,11.2
California,2010,12.2
California,2011,11.7
California,2012,10.4
Colorado,1994,4.2
Colorado,1995,4
Colorado,1996,4.2
Colorado,1997,3.5
Colorado,1998,3.6
Colorado,1999,3.1
Colorado,2000,2.8
Colorado,2001,3.8
Colorado,2002,5.5
Colorado,2003,6
Colorado,2004,5.5
Colorado,2005,5
Colorado,2006,4.3
Colorado,2007,3.7
Colorado,2008,4.8
Colorado,2009,7.3
Colorado,2010,8.7
Colorado,2011,8.4
Colorado,2012,7.9
Connecticut,1994,5.6
Connecticut,1995,5.5
Connecticut,1996,5.5
Connecticut,1997,5
Connecticut,1998,3.4
Connecticut,1999,2.9
Connecticut,2000,2.4
Connecticut,2001,3.1
Connecticut,2002,4.3
Connecticut,2003,5.4
Connecticut,2004,5
Connecticut,2005,4.9
Connecticut,2006,4.3
Connecticut,2007,4.5
Connecticut,2008,5.7
Connecticut,2009,7.9
Connecticut,2010,9.1
Connecticut,2011,8.8
Connecticut,2012,8.3
Delaware,1994,4.8
Delaware,1995,4.3
Delaware,1996,5.1
Delaware,1997,4
Delaware,1998,3.7
Delaware,1999,3.4
Delaware,2000,3.7
Delaware,2001,3.5
Delaware,2002,4
Delaware,2003,4.3
Delaware,2004,4
Delaware,2005,4.1
Delaware,2006,3.6
Delaware,2007,3.4
Delaware,2008,4.9
Delaware,2009,8.3
Delaware,2010,8.4
Delaware,2011,7.5
Delaware,2012,7.2
District of Columbia,1994,8
District of Columbia,1995,8.8
District of Columbia,1996,8.4
District of Columbia,1997,8
District of Columbia,1998,8.4
District of Columbia,1999,6.4
District of Columbia,2000,5.6
District of Columbia,2001,6.3
District of Columbia,2002,6.4
District of Columbia,2003,6.8
District of Columbia,2004,7.8
District of Columbia,2005,6.4
District of Columbia,2006,5.8
District of Columbia,2007,5.5
District of Columbia,2008,6.5
District of Columbia,2009,9.3
District of Columbia,2010,9.4
District of Columbia,2011,10.2
District of Columbia,2012,9
Florida,1994,6.4
Florida,1995,5.5
Florida,1996,5.2
Florida,1997,4.8
Florida,1998,4.3
Florida,1999,3.9
Florida,2000,3.7
Florida,2001,4.7
Florida,2002,5.6
Florida,2003,5.2
Florida,2004,4.6
Florida,2005,3.7
Florida,2006,3.2
Florida,2007,4
Florida,2008,6.3
Florida,2009,10.4
Florida,2010,11.1
Florida,2011,10
Florida,2012,8.5
Georgia,1994,5.2
Georgia,1995,4.8
Georgia,1996,4.7
Georgia,1997,4.5
Georgia,1998,4.3
Georgia,1999,3.9
Georgia,2000,3.6
Georgia,2001,4
Georgia,2002,5
Georgia,2003,4.8
Georgia,2004,4.8
Georgia,2005,5.3
Georgia,2006,4.7
Georgia,2007,4.5
Georgia,2008,6.2
Georgia,2009,9.9
Georgia,2010,10.5
Georgia,2011,10.2
Georgia,2012,9.2
Hawaii,1994,5.5
Hawaii,1995,5.9
Hawaii,1996,6.3
Hawaii,1997,6.2
Hawaii,1998,6.1
Hawaii,1999,5.4
Hawaii,2000,4.2
Hawaii,2001,4.5
Hawaii,2002,4.2
Hawaii,2003,4.1
Hawaii,2004,3.4
Hawaii,2005,2.9
Hawaii,2006,2.6
Hawaii,2007,2.8
Hawaii,2008,4.3
Hawaii,2009,7.2
Hawaii,2010,6.9
Hawaii,2011,6.8
Hawaii,2012,6
Idaho,1994,5.4
Idaho,1995,5.4
Idaho,1996,5.3
Idaho,1997,5.1
Idaho,1998,5.1
Idaho,1999,4.9
Idaho,2000,4.7
Idaho,2001,5.1
Idaho,2002,5.6
Idaho,2003,5.6
Idaho,2004,4.9
Idaho,2005,4
Idaho,2006,3.5
Idaho,2007,3.1
Idaho,2008,5.1
Idaho,2009,8.8
Idaho,2010,9
Idaho,2011,8.3
Idaho,2012,7.2
Illinois,1994,5.7
Illinois,1995,5.2
Illinois,1996,5.3
Illinois,1997,4.8
Illinois,1998,4.4
Illinois,1999,4.4
Illinois,2000,4.3
Illinois,2001,5.3
Illinois,2002,6.5
Illinois,2003,6.8
Illinois,2004,6.2
Illinois,2005,5.7
Illinois,2006,4.5
Illinois,2007,5
Illinois,2008,6.3
Illinois,2009,10.2
Illinois,2010,10.4
Illinois,2011,9.7
Illinois,2012,9
Indiana,1994,4.8
Indiana,1995,4.6
Indiana,1996,4.1
Indiana,1997,3.5
Indiana,1998,3.1
Indiana,1999,3
Indiana,2000,3.1
Indiana,2001,4.2
Indiana,2002,5.2
Indiana,2003,5.3
Indiana,2004,5.4
Indiana,2005,5.5
Indiana,2006,5
Indiana,2007,4.6
Indiana,2008,5.9
Indiana,2009,10.3
Indiana,2010,10.4
Indiana,2011,9.1
Indiana,2012,8.3
Iowa,1994,3.5
Iowa,1995,3.5
Iowa,1996,3.5
Iowa,1997,3.1
Iowa,1998,2.7
Iowa,1999,2.6
Iowa,2000,2.6
Iowa,2001,3.3
Iowa,2002,4
Iowa,2003,4.5
Iowa,2004,4.5
Iowa,2005,4.3
Iowa,2006,3.7
Iowa,2007,3.7
Iowa,2008,4.2
Iowa,2009,6.4
Iowa,2010,6
Iowa,2011,5.5
Iowa,2012,5
Kansas,1994,4.9
Kansas,1995,4.4
Kansas,1996,4.2
Kansas,1997,3.8
Kansas,1998,3.5
Kansas,1999,3.3
Kansas,2000,3.6
Kansas,2001,4.2
Kansas,2002,5.1
Kansas,2003,5.5
Kansas,2004,5.5
Kansas,2005,5
Kansas,2006,4.4
Kansas,2007,4.2
Kansas,2008,4.6
Kansas,2009,6.9
Kansas,2010,7.1
Kansas,2011,6.5
Kansas,2012,5.7
Kentucky,1994,5.4
Kentucky,1995,5.4
Kentucky,1996,5.5
Kentucky,1997,5.3
Kentucky,1998,4.6
Kentucky,1999,4.5
Kentucky,2000,4.2
Kentucky,2001,5.2
Kentucky,2002,5.7
Kentucky,2003,6.1
Kentucky,2004,5.4
Kentucky,2005,5.9
Kentucky,2006,5.7
Kentucky,2007,5.4
Kentucky,2008,6.4
Kentucky,2009,10.3
Kentucky,2010,10.2
Kentucky,2011,9.4
Kentucky,2012,8.2
Louisiana,1994,7.8
Louisiana,1995,7
Louisiana,1996,6.6
Louisiana,1997,6
Louisiana,1998,5.7
Louisiana,1999,5.1
Louisiana,2000,5.3
Louisiana,2001,5.7
Louisiana,2002,6.1
Louisiana,2003,6.4
Louisiana,2004,5.9
Louisiana,2005,7.2
Louisiana,2006,4.5
Louisiana,2007,4.3
Louisiana,2008,4.9
Louisiana,2009,6.8
Louisiana,2010,8
Louisiana,2011,7.8
Louisiana,2012,7.1
Maine,1994,7
Maine,1995,5.9
Maine,1996,5.2
Maine,1997,5
Maine,1998,4.5
Maine,1999,3.9
Maine,2000,3.4
Maine,2001,3.8
Maine,2002,4.3
Maine,2003,5
Maine,2004,4.6
Maine,2005,4.9
Maine,2006,4.6
Maine,2007,4.7
Maine,2008,5.5
Maine,2009,8.1
Maine,2010,8.1
Maine,2011,7.9
Maine,2012,7.5
Maryland,1994,5.3
Maryland,1995,5.1
Maryland,1996,5
Maryland,1997,4.9
Maryland,1998,4.4
Maryland,1999,3.6
Maryland,2000,3.6
Maryland,2001,4
Maryland,2002,4.4
Maryland,2003,4.4
Maryland,2004,4.3
Maryland,2005,4.1
Maryland,2006,3.9
Maryland,2007,3.5
Maryland,2008,4.2
Maryland,2009,7
Maryland,2010,7.7
Maryland,2011,7.2
Maryland,2012,7
Massachusetts,1994,6
Massachusetts,1995,5.3
Massachusetts,1996,4.4
Massachusetts,1997,3.9
Massachusetts,1998,3.3
Massachusetts,1999,3.2
Massachusetts,2000,2.7
Massachusetts,2001,3.7
Massachusetts,2002,5.3
Massachusetts,2003,5.7
Massachusetts,2004,5.1
Massachusetts,2005,4.8
Massachusetts,2006,4.9
Massachusetts,2007,4.6
Massachusetts,2008,5.5
Massachusetts,2009,8.1
Massachusetts,2010,8.3
Massachusetts,2011,7.3
Massachusetts,2012,6.7
Michigan,1994,6
Michigan,1995,5.3
Michigan,1996,4.9
Michigan,1997,4.2
Michigan,1998,4
Michigan,1999,3.7
Michigan,2000,3.6
Michigan,2001,5.2
Michigan,2002,6.3
Michigan,2003,7.2
Michigan,2004,7
Michigan,2005,6.8
Michigan,2006,7
Michigan,2007,7
Michigan,2008,8
Michigan,2009,13.7
Michigan,2010,12.6
Michigan,2011,10.4
Michigan,2012,9.1
Minnesota,1994,4.1
Minnesota,1995,3.7
Minnesota,1996,3.9
Minnesota,1997,3.3
Minnesota,1998,2.7
Minnesota,1999,2.8
Minnesota,2000,3.2
Minnesota,2001,3.8
Minnesota,2002,4.5
Minnesota,2003,4.9
Minnesota,2004,4.7
Minnesota,2005,4.1
Minnesota,2006,4
Minnesota,2007,4.6
Minnesota,2008,5.4
Minnesota,2009,7.8
Minnesota,2010,7.4
Minnesota,2011,6.5
Minnesota,2012,5.6
Mississippi,1994,6.2
Mississippi,1995,6.2
Mississippi,1996,6
Mississippi,1997,5.7
Mississippi,1998,5.3
Mississippi,1999,5.1
Mississippi,2000,5.4
Mississippi,2001,5.5
Mississippi,2002,6.6
Mississippi,2003,6.3
Mississippi,2004,6.2
Mississippi,2005,7.5
Mississippi,2006,6.5
Mississippi,2007,6.1
Mississippi,2008,6.6
Mississippi,2009,9.5
Mississippi,2010,10.4
Mississippi,2011,10
Mississippi,2012,9
Missouri,1994,5
Missouri,1995,4.7
Missouri,1996,4.8
Missouri,1997,4.3
Missouri,1998,4.1
Missouri,1999,3.3
Missouri,2000,3.6
Missouri,2001,4.6
Missouri,2002,5.4
Missouri,2003,5.6
Missouri,2004,5.9
Missouri,2005,5.4
Missouri,2006,4.8
Missouri,2007,5.1
Missouri,2008,6.1
Missouri,2009,9.3
Missouri,2010,9.6
Missouri,2011,8.5
Missouri,2012,6.9
Montana,1994,5.2
Montana,1995,5.7
Montana,1996,5.3
Montana,1997,5.3
Montana,1998,5.5
Montana,1999,5.3
Montana,2000,5
Montana,2001,4.5
Montana,2002,4.4
Montana,2003,4.7
Montana,2004,4.8
Montana,2005,4.4
Montana,2006,3.5
Montana,2007,3.6
Montana,2008,5.1
Montana,2009,6.8
Montana,2010,7.3
Montana,2011,6.9
Montana,2012,6
Nebraska,1994,2.6
Nebraska,1995,2.6
Nebraska,1996,2.7
Nebraska,1997,2.5
Nebraska,1998,2.6
Nebraska,1999,2.8
Nebraska,2000,2.8
Nebraska,2001,3.1
Nebraska,2002,3.6
Nebraska,2003,3.9
Nebraska,2004,3.9
Nebraska,2005,3.8
Nebraska,2006,3.1
Nebraska,2007,3
Nebraska,2008,3.3
Nebraska,2009,4.6
Nebraska,2010,4.6
Nebraska,2011,4.4
Nebraska,2012,4
Nevada,1994,6.2
Nevada,1995,5.6
Nevada,1996,5
Nevada,1997,4.4
Nevada,1998,4.2
Nevada,1999,4
Nevada,2000,4.2
Nevada,2001,5.2
Nevada,2002,5.6
Nevada,2003,5.1
Nevada,2004,4.3
Nevada,2005,4.1
Nevada,2006,4
Nevada,2007,4.5
Nevada,2008,6.7
Nevada,2009,11.3
Nevada,2010,13.5
Nevada,2011,13
Nevada,2012,11.2
New Hampshire,1994,4.7
New Hampshire,1995,4
New Hampshire,1996,3.8
New Hampshire,1997,3.3
New Hampshire,1998,2.8
New Hampshire,1999,2.7
New Hampshire,2000,2.7
New Hampshire,2001,3.4
New Hampshire,2002,4.5
New Hampshire,2003,4.3
New Hampshire,2004,3.8
New Hampshire,2005,3.6
New Hampshire,2006,3.4
New Hampshire,2007,3.5
New Hampshire,2008,3.9
New Hampshire,2009,6.2
New Hampshire,2010,5.8
New Hampshire,2011,5.4
New Hampshire,2012,5.5
New Jersey,1994,6.8
New Jersey,1995,6.4
New Jersey,1996,6.1
New Jersey,1997,5.3
New Jersey,1998,4.6
New Jersey,1999,4.5
New Jersey,2000,3.7
New Jersey,2001,4.3
New Jersey,2002,5.8
New Jersey,2003,5.8
New Jersey,2004,4.8
New Jersey,2005,4.5
New Jersey,2006,4.7
New Jersey,2007,4.3
New Jersey,2008,5.3
New Jersey,2009,9.1
New Jersey,2010,9.5
New Jersey,2011,9.3
New Jersey,2012,9.3
New Mexico,1994,6.5
New Mexico,1995,6.6
New Mexico,1996,7.2
New Mexico,1997,6.3
New Mexico,1998,6.1
New Mexico,1999,5.6
New Mexico,2000,4.9
New Mexico,2001,4.9
New Mexico,2002,5.5
New Mexico,2003,5.9
New Mexico,2004,5.5
New Mexico,2005,5.1
New Mexico,2006,4.2
New Mexico,2007,3.8
New Mexico,2008,4.5
New Mexico,2009,7.5
New Mexico,2010,8.1
New Mexico,2011,7.5
New Mexico,2012,7.1
New York,1994,6.9
New York,1995,6.3
New York,1996,6.3
New York,1997,6.4
New York,1998,5.6
New York,1999,5.2
New York,2000,4.5
New York,2001,4.8
New York,2002,6.1
New York,2003,6.4
New York,2004,5.8
New York,2005,5
New York,2006,4.5
New York,2007,4.6
New York,2008,5.4
New York,2009,8.3
New York,2010,8.6
New York,2011,8.3
New York,2012,8.5
North Carolina,1994,4.4
North Carolina,1995,4.3
North Carolina,1996,4.3
North Carolina,1997,3.8
North Carolina,1998,3.4
North Carolina,1999,3.2
North Carolina,2000,3.7
North Carolina,2001,5.5
North Carolina,2002,6.6
North Carolina,2003,6.4
North Carolina,2004,5.5
North Carolina,2005,5.2
North Carolina,2006,4.7
North Carolina,2007,4.7
North Carolina,2008,6.1
North Carolina,2009,10.6
North Carolina,2010,10.9
North Carolina,2011,10.3
North Carolina,2012,9.3
North Dakota,1994,3.7
North Dakota,1995,3.2
North Dakota,1996,2.9
North Dakota,1997,2.7
North Dakota,1998,2.9
North Dakota,1999,3.3
North Dakota,2000,3
North Dakota,2001,2.9
North Dakota,2002,3.7
North Dakota,2003,3.7
North Dakota,2004,3.4
North Dakota,2005,3.4
North Dakota,2006,3.2
North Dakota,2007,3.1
North Dakota,2008,3.2
North Dakota,2009,4.1
North Dakota,2010,3.8
North Dakota,2011,3.5
North Dakota,2012,3.1
Ohio,1994,5.5
Ohio,1995,4.8
Ohio,1996,5
Ohio,1997,4.6
Ohio,1998,4.3
Ohio,1999,4.3
Ohio,2000,4
Ohio,2001,4.3
Ohio,2002,5.7
Ohio,2003,6.2
Ohio,2004,6.3
Ohio,2005,5.9
Ohio,2006,5.4
Ohio,2007,5.6
Ohio,2008,6.4
Ohio,2009,10.3
Ohio,2010,10.3
Ohio,2011,8.8
Ohio,2012,7.4
Oklahoma,1994,5.5
Oklahoma,1995,4.6
Oklahoma,1996,4.1
Oklahoma,1997,4.1
Oklahoma,1998,4.2
Oklahoma,1999,3.5
Oklahoma,2000,3
Oklahoma,2001,3.7
Oklahoma,2002,4.7
Oklahoma,2003,5.5
Oklahoma,2004,4.9
Oklahoma,2005,4.5
Oklahoma,2006,4
Oklahoma,2007,4.1
Oklahoma,2008,3.7
Oklahoma,2009,6.4
Oklahoma,2010,6.8
Oklahoma,2011,5.9
Oklahoma,2012,5.2
Oregon,1994,5.4
Oregon,1995,4.9
Oregon,1996,5.7
Oregon,1997,5.7
Oregon,1998,5.7
Oregon,1999,5.5
Oregon,2000,5.1
Oregon,2001,6.4
Oregon,2002,7.5
Oregon,2003,8.1
Oregon,2004,7.3
Oregon,2005,6.2
Oregon,2006,5.3
Oregon,2007,5.2
Oregon,2008,6.5
Oregon,2009,11.3
Oregon,2010,10.6
Oregon,2011,9.5
Oregon,2012,8.8
Pennsylvania,1994,6.2
Pennsylvania,1995,5.9
Pennsylvania,1996,5.5
Pennsylvania,1997,5.1
Pennsylvania,1998,4.6
Pennsylvania,1999,4.4
Pennsylvania,2000,4.1
Pennsylvania,2001,4.8
Pennsylvania,2002,5.6
Pennsylvania,2003,5.7
Pennsylvania,2004,5.4
Pennsylvania,2005,5
Pennsylvania,2006,4.6
Pennsylvania,2007,4.4
Pennsylvania,2008,5.3
Pennsylvania,2009,8
Pennsylvania,2010,8.5
Pennsylvania,2011,7.9
Pennsylvania,2012,7.8
Rhode Island,1994,6.9
Rhode Island,1995,6.3
Rhode Island,1996,5.5
Rhode Island,1997,5.1
Rhode Island,1998,4.6
Rhode Island,1999,4.1
Rhode Island,2000,4.1
Rhode Island,2001,4.6
Rhode Island,2002,5
Rhode Island,2003,5.3
Rhode Island,2004,5.2
Rhode Island,2005,5
Rhode Island,2006,4.9
Rhode Island,2007,5.2
Rhode Island,2008,7.8
Rhode Island,2009,11
Rhode Island,2010,11.2
Rhode Island,2011,11
Rhode Island,2012,10.4
South Carolina,1994,6.2
South Carolina,1995,5.2
South Carolina,1996,5.8
South Carolina,1997,4.6
South Carolina,1998,3.8
South Carolina,1999,4.3
South Carolina,2000,3.8
South Carolina,2001,5.2
South Carolina,2002,5.8
South Carolina,2003,6.9
South Carolina,2004,6.8
South Carolina,2005,6.7
South Carolina,2006,6.4
South Carolina,2007,5.7
South Carolina,2008,6.8
South Carolina,2009,11.2
South Carolina,2010,11.2
South Carolina,2011,10.6
South Carolina,2012,9.2
South Dakota,1994,3.3
South Dakota,1995,3
South Dakota,1996,3.2
South Dakota,1997,2.9
South Dakota,1998,2.8
South Dakota,1999,2.7
South Dakota,2000,2.5
South Dakota,2001,3.1
South Dakota,2002,3.2
South Dakota,2003,3.5
South Dakota,2004,3.7
South Dakota,2005,3.8
South Dakota,2006,3.1
South Dakota,2007,2.8
South Dakota,2008,3.1
South Dakota,2009,4.9
South Dakota,2010,5
South Dakota,2011,4.7
South Dakota,2012,4.3
Tennessee,1994,4.8
Tennessee,1995,5.2
Tennessee,1996,5.1
Tennessee,1997,5.2
Tennessee,1998,4.3
Tennessee,1999,4
Tennessee,2000,3.9
Tennessee,2001,4.6
Tennessee,2002,5.2
Tennessee,2003,5.6
Tennessee,2004,5.3
Tennessee,2005,5.6
Tennessee,2006,5.2
Tennessee,2007,4.7
Tennessee,2008,6.6
Tennessee,2009,10.5
Tennessee,2010,9.7
Tennessee,2011,9
Tennessee,2012,7.8
Texas,1994,6.5
Texas,1995,6.1
Texas,1996,5.7
Texas,1997,5.3
Texas,1998,4.8
Texas,1999,4.7
Texas,2000,4.3
Texas,2001,5
Texas,2002,6.4
Texas,2003,6.7
Texas,2004,5.9
Texas,2005,5.4
Texas,2006,4.9
Texas,2007,4.3
Texas,2008,4.8
Texas,2009,7.6
Texas,2010,8.1
Texas,2011,7.8
Texas,2012,6.7
Utah,1994,3.8
Utah,1995,3.5
Utah,1996,3.4
Utah,1997,3.2
Utah,1998,3.6
Utah,1999,3.5
Utah,2000,3.3
Utah,2001,4.4
Utah,2002,5.8
Utah,2003,5.6
Utah,2004,5
Utah,2005,4.1
Utah,2006,3
Utah,2007,2.6
Utah,2008,3.6
Utah,2009,7.3
Utah,2010,7.8
Utah,2011,6.7
Utah,2012,5.4
Vermont,1994,4.6
Vermont,1995,4.3
Vermont,1996,4.3
Vermont,1997,3.9
Vermont,1998,3.4
Vermont,1999,3
Vermont,2000,2.8
Vermont,2001,3.3
Vermont,2002,4
Vermont,2003,4.3
Vermont,2004,3.7
Vermont,2005,3.5
Vermont,2006,3.7
Vermont,2007,4
Vermont,2008,4.7
Vermont,2009,6.6
Vermont,2010,6.1
Vermont,2011,5.5
Vermont,2012,5
Virginia,1994,4.8
Virginia,1995,4.5
Virginia,1996,4.4
Virginia,1997,3.8
Virginia,1998,2.9
Virginia,1999,2.8
Virginia,2000,2.3
Virginia,2001,3.2
Virginia,2002,4.2
Virginia,2003,4.1
Virginia,2004,3.8
Virginia,2005,3.6
Virginia,2006,3.1
Virginia,2007,3
Virginia,2008,3.9
Virginia,2009,6.7
Virginia,2010,7.1
Virginia,2011,6.6
Virginia,2012,6.1
Washington,1994,6.5
Washington,1995,6.4
Washington,1996,6
Washington,1997,4.9
Washington,1998,4.8
Washington,1999,4.9
Washington,2000,5.2
Washington,2001,6.3
Washington,2002,7.4
Washington,2003,7.4
Washington,2004,6.3
Washington,2005,5.6
Washington,2006,5
Washington,2007,4.7
Washington,2008,5.4
Washington,2009,9.2
Washington,2010,10
Washington,2011,9.3
Washington,2012,8.1
West Virginia,1994,8.8
West Virginia,1995,7.9
West Virginia,1996,7.5
West Virginia,1997,6.9
West Virginia,1998,6.6
West Virginia,1999,6.4
West Virginia,2000,5.5
West Virginia,2001,5
West Virginia,2002,5.9
West Virginia,2003,6
West Virginia,2004,5.3
West Virginia,2005,5.1
West Virginia,2006,4.9
West Virginia,2007,4.6
West Virginia,2008,4.3
West Virginia,2009,7.7
West Virginia,2010,8.7
West Virginia,2011,8.1
West Virginia,2012,7.5
Wisconsin,1994,4.5
Wisconsin,1995,3.8
Wisconsin,1996,3.6
Wisconsin,1997,3.6
Wisconsin,1998,3.4
Wisconsin,1999,3.1
Wisconsin,2000,3.5
Wisconsin,2001,4.5
Wisconsin,2002,5.4
Wisconsin,2003,5.7
Wisconsin,2004,5
Wisconsin,2005,4.7
Wisconsin,2006,4.7
Wisconsin,2007,4.9
Wisconsin,2008,4.9
Wisconsin,2009,8.6
Wisconsin,2010,8.7
Wisconsin,2011,7.8
Wisconsin,2012,7
Wyoming,1994,5
Wyoming,1995,4.8
Wyoming,1996,4.9
Wyoming,1997,4.8
Wyoming,1998,4.7
Wyoming,1999,4.6
Wyoming,2000,3.9
Wyoming,2001,3.8
Wyoming,2002,4
Wyoming,2003,4.3
Wyoming,2004,3.8
Wyoming,2005,3.6
Wyoming,2006,3.2
Wyoming,2007,2.8
Wyoming,2008,3.1
Wyoming,2009,6.3
Wyoming,2010,6.4
Wyoming,2011,5.8
Wyoming,2012,5.3
